"Source";"Destination";"Relationship"
174;3;-1
174;9;-1
174;14;-1
174;20;-1
174;26;-1
174;34;-1
174;55;-1
174;72;-1
174;88;-1
174;91;-1
174;98;-1
174;101;-1
174;103;-1
174;111;-1
174;137;-1
174;156;-1
174;160;-1
174;209;0
174;210;-1
174;239;-1
174;286;0
174;545;-1
174;549;-1
174;553;-1
174;557;-1
174;558;-1
174;559;0
174;577;0
174;680;-1
174;701;0
174;702;0
174;714;-1
174;766;-1
174;773;-1
174;803;-1
174;812;-1
174;852;0
174;1239;0
174;1257;-1
174;1273;0
174;1277;-1
174;1280;-1
174;1286;-1
174;1289;-1
174;1299;0
174;1311;-1
174;1351;-1
174;1403;-1
174;1406;-1
174;1408;-1
174;1419;-1
174;1421;-1
174;1422;-1
174;1428;-1
174;1434;-1
174;1435;-1
174;1442;-1
174;1547;-1
174;1613;-1
174;1622;-1
174;1629;-1
174;1636;-1
174;1647;-1
174;1668;-1
174;1680;-1
174;1742;-1
174;1764;-1
174;1782;-1
174;1798;-1
174;1827;-1
174;1828;-1
174;1836;-1
174;1886;-1
174;1916;-1
174;1955;-1
174;1968;-1
174;1996;-1
174;2033;-1
174;2044;-1
174;2107;-1
174;2108;-1
174;2116;-1
174;2134;-1
174;2149;-1
174;2276;-1
174;2549;-1
174;2552;-1
174;2589;-1
174;2611;-1
174;2614;-1
174;2615;-1
174;2631;-1
174;2636;-1
174;2637;-1
174;2686;0
174;2730;-1
174;2734;-1
174;2828;0
174;2857;-1
174;2860;-1
174;2901;-1
174;2906;-1
174;2914;0
174;3061;-1
174;3213;-1
174;3238;-1
174;3250;-1
174;3252;-1
174;3255;-1
174;3257;0
174;3261;-1
174;3262;-1
174;3267;-1
174;3297;-1
174;3302;-1
174;3320;0
174;3324;-1
174;3329;-1
174;3331;-1
174;3347;-1
174;3356;0
174;3401;-1
174;3409;-1
174;3464;-1
174;3479;-1
174;3480;-1
174;3491;0
174;3512;-1
174;3549;0
174;3561;0
174;3599;-1
174;3606;-1
174;3685;-1
174;3705;-1
174;3733;-1
174;3737;-1
174;3741;-1
174;3755;-1
174;3756;-1
174;3770;-1
174;3777;-1
174;3778;-1
174;3782;-1
174;3795;-1
174;3820;-1
174;3837;-1
174;3842;-1
174;3850;-1
174;3855;-1
174;3900;-1
174;3912;-1
174;4134;0
174;4166;-1
174;4230;-1
174;4232;-1
174;4261;-1
174;4307;-1
174;4354;-1
174;4374;-1
174;4385;-1
174;4436;0
174;4474;-1
174;4538;-1
174;4543;-1
174;4544;0
174;4563;-1
174;4569;-1
174;4581;-1
174;4597;-1
174;4637;0
174;4766;-1
174;4775;-1
174;4788;-1
174;4826;-1
174;4877;-1
174;4893;-1
174;4894;-1
174;4897;-1
174;4901;-1
174;4903;-1
174;4905;-1
174;4907;-1
174;4985;-1
174;4989;-1
174;5033;-1
174;5050;-1
174;5054;-1
174;5056;-1
174;5067;-1
174;5069;-1
174;5078;-1
174;5096;-1
174;5108;-1
174;5116;-1
174;5391;-1
174;5392;-1
174;5400;0
174;5436;-1
174;5439;-1
174;5500;-1
174;5511;0
174;5563;-1
174;5564;-1
174;5577;-1
174;5580;0
174;5582;-1
174;5600;-1
174;5645;0
174;5661;-1
174;5662;-1
174;5664;-1
174;5690;-1
174;5702;-1
174;5713;-1
174;5716;-1
174;5718;-1
174;5719;-1
174;5723;-1
174;5738;-1
174;5760;-1
174;5794;-1
174;6057;-1
174;6059;-1
174;6067;-1
174;6074;-1
174;6082;-1
174;6083;-1
174;6118;-1
174;6128;-1
174;6181;-1
174;6189;-1
174;6200;-1
174;6244;-1
174;6248;-1
174;6250;-1
174;6295;-1
174;6296;-1
174;6300;-1
