ASN,Name,
ASN39759,Passepartout s.p.a.,
ASN12637,Seeweb s.r.l.,
ASN1273,Cable and Wireless Worldwide plc,
ASN1267,Wind Telecomunicazioni SpA,
ASN3257,Tinet Spa,
ASN6453,TATA COMMUNICATIONS (AMERICA) INC,
ASN6128,Cablevision Systems Corp.,
ASN4134,Chinanet,
ASN174,Cogent Communications,
ASN1,"Level 3 Communications, Inc.",
ASN100,FMC Central Engineering Laboratories,
ASN1000,GONET,
ASN10000,Nagasaki Cable Media Inc.,
ASN10001,Mics Network Corporation,
ASN10002,"IGAUENO CABLE TELEVISION CO.,LTD",
ASN10003,"Ogaki Cable Television Co.,Inc.",
ASN10004,JIN Office Service Inc.,
ASN10006,"SECOM Trust Systems Co.,Ltd.",
ASN10010,TOKAI Communications Corporation,
ASN10011,advanscope.inc,
ASN10012,Rakuten Communications Corp.,
ASN10013,"FreeBit Co.,Ltd.",
ASN10014,Nihon University,
ASN10015,"Cyber Wave Japan Co., Ltd.",
ASN10016,Minaminihon Information Processing Center Co Ltd,
ASN10019,Matsusaka Cable-TV Station Inc.,
ASN10021,"KVH Co.,Ltd",
ASN10022,Internet access for Datacom Systems Auckland,
ASN10023,Vixtel Pty Ltd,
ASN10024,LGA International,
ASN10026,Pacnet Global Ltd,
ASN10029,CITYCOM NETWORKS PVT LTD,
ASN10030,Celcom Internet Service Provider,
ASN10031,"WEBSATMEDIA PTE LTD, Satellite Over IP, Singapore",
ASN10032,Hutchison Global Crossing Ltd.,
ASN10034,YMIR Entertainment,
ASN10035,"Hyundai Department Store Co., Ltd.",
ASN10036,"C&M Communication Co.,Ltd.",
ASN10037,"Jeil CATV Co.,Ltd",
ASN10038,NHN Entertainment,
ASN10039,Korea Health Industry Development Institute,
ASN10040,"NICE Information & Telecommunication, Inc",
ASN10042,DAEGU POLYTECHNIC COLLEGE,
ASN10043,SOON CHUN HYANG UNIVERSITY,
ASN10044,Rural Development Adminstration (RDA),
ASN10045,Hanbat National University,
ASN10046,HOWON UNIVERSITY,
ASN10047,Namseoul university,
ASN10049,"SK C&C Co., Ltd.",
ASN10050,The National Library of Korea,
ASN10051,ANYSAT,
ASN10052,Kyungpook National Univ.,
ASN10053,Anyang Technical College,
ASN10054,CMB Kwnagju Easten Broadcasting,
ASN10055,Korean National Railroad Administration,
ASN10056,Hyundai Marin&Fire Insurance,
ASN10058,NACUFOK,
ASN10059,LG DACOM KIDC,
ASN10061,Financial Supervisory Service,
ASN10063,Korea Meteorological Administration,
ASN10064,GEPS Cheonan Sagnokresort,
ASN10066,CJ-CABLENET,
ASN10068,Honhjin Network,
ASN10069,Seoul Metro,
ASN10070,Korea Research Institute of Standards and Science,
ASN10071,anyang University,
ASN10073,Korea National Open University,
ASN10074,iBasis Singapore ICO,
ASN10076,ERDEMNET ISP,
ASN10077,Tikona Infinet Ltd,
ASN10080,"Webshield, Internet Service Provider, Adelaide, Australia",
ASN10081,DiGi Telecommunications Sdn Bhd,
ASN10082,Morgan Stanley Asia Limited,
ASN10084,Western Australian Internet Association,
ASN10085,PEER WITH OVERSEA ISP,
ASN10088,"KWANGWOON University in Seoul, Korea",
ASN10089,Total Access Communication PLC.,
ASN10091,StarHub Cable Vision Ltd,
ASN10094,BruNet - Telekom Brunei Berhad,
ASN10096,"Easycall Communications Phils., Inc.",
ASN10097,Flow Communications 2/541 Kent St Sydney NSW 2000,
ASN10098,Henderson Data Centre Limited,
ASN10099,China Unicom Global,
ASN101,University of Washington,
ASN10100,UBS Autonomous System Asia-Pacific,
ASN10101,Simpur ISP,
ASN10102,1Asia Communication Pte Ltd,
ASN10103,HK Broadband Network Ltd.,
ASN10105,OMNIconnect Pty Ltd,
ASN10106,Federation Training,
ASN10108,DRESDNER KLEINWORT WASSERSTEIN,
ASN10109,"Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia",
ASN10110,Manukau Institute of Technology,
ASN10111,AS for DataOne(Malaysia),
