Source,destination,relationship
ASN42,ASN12637,0
ASN112,ASN12637,0
ASN137,ASN12637,0
ASN174,ASN12637,-1
ASN251,ASN12637,0
ASN260,ASN12637,0
ASN714,ASN12637,0
ASN1103,ASN12637,0
ASN1126,ASN12637,0
ASN1140,ASN12637,0
ASN1241,ASN12637,0
ASN1267,ASN12637,0
ASN1267,ASN39759,-1
ASN1547,ASN12637,0
ASN1680,ASN12637,0
ASN1764,ASN12637,0
ASN2484,ASN12637,0
ASN2597,ASN12637,0
ASN2611,ASN12637,0
ASN2635,ASN12637,0
ASN2852,ASN12637,0
ASN2854,ASN12637,0
ASN2906,ASN12637,0
ASN2914,ASN12637,-1
ASN3225,ASN12637,0
ASN3252,ASN12637,0
ASN3257,ASN12637,-1
ASN3262,ASN12637,0
ASN3267,ASN12637,0
ASN3269,ASN12637,0
ASN3269,ASN39759,-1
ASN3302,ASN12637,0
ASN3327,ASN12637,0
ASN3333,ASN12637,0
ASN3856,ASN12637,0
ASN4436,ASN12637,-1
ASN4589,ASN12637,0
ASN4637,ASN12637,0
ASN4651,ASN12637,0
ASN4761,ASN12637,0
ASN5390,ASN12637,0
ASN5392,ASN12637,0
ASN5394,ASN12637,0
ASN5396,ASN12637,0
ASN5397,ASN12637,0
ASN5410,ASN12637,0
ASN5413,ASN12637,0
ASN5466,ASN12637,0
ASN5524,ASN12637,0
ASN5563,ASN12637,0
ASN5568,ASN12637,0
ASN5583,ASN12637,0
ASN5588,ASN12637,0
ASN5602,ASN12637,0
ASN5713,ASN12637,0
ASN6507,ASN12637,0
ASN6661,ASN12637,0
ASN6663,ASN12637,0
ASN6677,ASN12637,0
ASN6717,ASN12637,0
ASN6724,ASN12637,0
ASN6730,ASN12637,0
ASN6734,ASN12637,0
ASN6735,ASN12637,0
ASN6777,ASN12637,0
ASN6834,ASN12637,0
ASN6853,ASN12637,0
ASN6866,ASN12637,0
ASN6898,ASN12637,0
ASN6939,ASN12637,0
ASN7160,ASN12637,0
ASN7342,ASN12637,0
ASN7713,ASN12637,0
ASN8075,ASN12637,0
ASN8218,ASN12637,0
ASN8220,ASN12637,0
ASN8224,ASN12637,0
