Source,Destination,Relationship
ASN174,ASN12637,-1
ASN1267,ASN3242,-1
ASN1267,ASN6665,-1
ASN1267,ASN6882,-1
ASN1267,ASN12498,-1
ASN1267,ASN12551,-1
ASN1267,ASN12709,-1
ASN1267,ASN12922,-1
ASN1267,ASN13180,-1
ASN1267,ASN15360,-1
ASN1267,ASN15605,-1
ASN1267,ASN15663,-1
ASN1267,ASN15668,-1
ASN1267,ASN15691,-1
ASN1267,ASN15746,-1
ASN1267,ASN16027,-1
ASN1267,ASN16076,-1
ASN1267,ASN16161,-1
ASN1267,ASN20522,-1
ASN1267,ASN20604,-1
ASN1267,ASN20697,-1
ASN1267,ASN20745,-1
ASN1267,ASN20912,-1
ASN1267,ASN21014,-1
ASN1267,ASN21058,-1
ASN1267,ASN21086,-1
ASN1267,ASN21176,-1
ASN1267,ASN21199,-1
ASN1267,ASN21333,-1
ASN1267,ASN21451,-1
ASN1267,ASN24780,-1
ASN1267,ASN24805,-1
ASN1267,ASN24994,-1
ASN1267,ASN25002,-1
ASN1267,ASN28767,-1
ASN1267,ASN28977,-1
ASN1267,ASN29036,-1
ASN1267,ASN29050,-1
ASN1267,ASN29082,-1
ASN1267,ASN29094,-1
ASN1267,ASN29438,-1
ASN1267,ASN31034,-1
ASN1267,ASN31067,-1
ASN1267,ASN31086,-1
ASN1267,ASN31144,-1
ASN1267,ASN33874,-1
ASN1267,ASN33964,-1
ASN1267,ASN34613,-1
ASN1267,ASN35146,-1
ASN1267,ASN39250,-1
ASN1267,ASN39719,-1
ASN1267,ASN39759,-1
ASN1267,ASN41094,-1
ASN1267,ASN41734,-1
ASN1267,ASN41836,-1
ASN1267,ASN43364,-1
ASN1267,ASN44701,-1
ASN1267,ASN44747,-1
ASN1267,ASN44767,-1
ASN1267,ASN47178,-1
ASN1267,ASN47735,-1
ASN1267,ASN48135,-1
ASN1267,ASN49215,-1
ASN1267,ASN49733,-1
ASN1267,ASN49976,-1
ASN1267,ASN50891,-1
ASN1267,ASN51139,-1
ASN1267,ASN52030,-1
ASN1267,ASN56641,-1
ASN1267,ASN57525,-1
ASN1267,ASN58177,-1
ASN1267,ASN60049,-1
ASN1267,ASN60756,-1
ASN1267,ASN196753,-1
ASN1267,ASN196784,-1
ASN1267,ASN196956,-1
ASN1267,ASN196983,-1
ASN1267,ASN198380,-1
ASN1267,ASN198387,-1
ASN1267,ASN198898,-1
ASN1267,ASN198916,-1
ASN1267,ASN199026,-1
ASN1267,ASN199039,-1
ASN1267,ASN199352,-1
ASN1267,ASN200616,-1
ASN1267,ASN200630,-1
ASN1267,ASN200818,-1
ASN1267,ASN200873,-1
ASN1267,ASN201352,-1
ASN1267,ASN202017,-1
ASN1273,ASN72,-1
ASN1273,ASN714,-1
ASN1273,ASN1217,-1
ASN1273,ASN1267,-1
ASN1273,ASN1766,-1
ASN1273,ASN2129,-1
ASN1273,ASN2200,-1
ASN1273,ASN2529,-1
ASN1273,ASN2535,-1
ASN1273,ASN3209,-1
ASN1273,ASN3216,-1
ASN1273,ASN3333,-1
ASN1273,ASN4184,-1
ASN1273,ASN4445,-1
ASN1273,ASN4651,-1
ASN1273,ASN4773,-1
ASN1273,ASN4775,-1
ASN1273,ASN4788,-1
ASN1273,ASN4913,-1
ASN1273,ASN5089,-1
ASN1273,ASN5388,-1
ASN1273,ASN5539,-1
ASN1273,ASN5568,-1
